query,run1,run2,run3,avg
variant_q15_v2.sql,14.081398725509644,14.75656771659851,14.584414958953857,14.474127133687338
variant_q15_v3.sql,15.902273654937744,15.387819290161133,15.966722011566162,15.75227165222168
variant_q15_v4.sql,17.022032737731934,17.15091872215271,16.91198420524597,17.028311888376873
variant_q16_v1.sql,5.723173141479492,4.162823677062988,5.365026950836182,5.083674589792888
variant_q16_v2.sql,5.008803844451904,4.050459623336792,4.47136378288269,4.510209083557129
variant_q16_v3.sql,7.658175706863403,8.32728624343872,8.063681840896606,8.01638126373291
variant_q16_v4.sql,6.042464017868042,4.661974668502808,4.225492715835571,4.976643800735474
variant_q17_v1.sql,,,,
variant_q17_v2.sql,,,,
variant_q17_v3.sql,1.0460782051086426,0.29914236068725586,0.3106729984283447,0.551964521408081
variant_q17_v4.sql,,,,
variant_q18_v1.sql,198.07092595100403,188.32705783843994,194.13318514823914,193.51038964589438
variant_q18_v2.sql,83.54453778266907,93.71059131622314,83.80505347251892,87.02006085713704
variant_q18_v3.sql,95.82821249961853,84.37943148612976,85.34978723526001,88.5191437403361
variant_q18_v4.sql,93.17944383621216,83.87558937072754,84.44587874412537,87.16697065035503
variant_q19_v1.sql,14.324581146240234,13.692264556884766,13.546637535095215,13.854494412740072
variant_q19_v2.sql,14.522061109542847,13.586655855178833,14.553081750869751,14.22059957186381
variant_q19_v3.sql,13.4806067943573,14.01815390586853,13.247340679168701,13.58203379313151
variant_q19_v4.sql,13.243001699447632,13.023698806762695,13.294031143188477,13.1869105497996
variant_q1_v1.sql,41.34604454040527,42.01381874084473,41.1059365272522,41.4885999361674
variant_q1_v2.sql,40.31755709648132,40.74198293685913,44.31154108047485,41.79036037127177
variant_q1_v3.sql,43.561399698257446,43.1821653842926,43.14579200744629,43.296452363332115
variant_q1_v4.sql,42.889129400253296,42.74007439613342,42.787397384643555,42.80553372701009
variant_q20_v1.sql,,,,
variant_q20_v2.sql,,,,
variant_q20_v3.sql,,,,
variant_q20_v4.sql,,,,
variant_q21_v1.sql,,,,
variant_q21_v2.sql,,,,
variant_q21_v3.sql,,,,
variant_q21_v4.sql,,,,
variant_q22_v1.sql,7.704381942749023,5.811817646026611,6.241257190704346,6.585818926493327
variant_q22_v2.sql,6.417868375778198,6.286339282989502,5.806909799575806,6.170372486114502
variant_q22_v3.sql,6.190627336502075,6.240097761154175,6.175297975540161,6.202007691065471
variant_q22_v4.sql,5.905786037445068,5.545935153961182,5.7150585651397705,5.722259918848674
variant_q2_v1.sql,,,,
variant_q2_v2.sql,,,,
variant_q2_v3.sql,,,,
variant_q2_v4.sql,,,,
variant_q3_v1.sql,34.83824300765991,39.60410022735596,25.91492462158203,33.45242261886597
variant_q3_v2.sql,25.717374801635742,25.717886924743652,25.609927654266357,25.681729793548584
variant_q3_v3.sql,28.305821418762207,30.311917781829834,33.84598708152771,30.821242094039917
variant_q3_v4.sql,28.27131175994873,27.514046907424927,27.57979965209961,27.78838610649109
variant_q4_v1.sql,32.27429485321045,32.25395750999451,32.56103467941284,32.3630956808726
variant_q4_v2.sql,31.7027370929718,31.731144189834595,32.80761408805847,32.080498456954956
variant_q4_v3.sql,32.75097918510437,31.601998329162598,33.231953620910645,32.52831037839254
variant_q4_v4.sql,32.660902976989746,32.60570168495178,33.37801551818848,32.881540060043335
